#.t	Rural_baseflow
#d	m/d
0	0.001785104
0.0416667	0.001778908
0.0833333	0.001749657
0.125	0.001744597
0.1666667	0.001731261
0.2083333	0.001708375
0.25	0.001705005
0.2916667	0.001690232
0.3333333	0.001695552
0.375	0.001692053
0.4166667	0.001700713
0.4583333	0.001706449
0.5	0.001737204
0.5416667	0.00175608
0.5833333	0.001764905
0.625	0.001815696
0.6666667	0.001850302
0.7083333	0.001867661
0.75	0.001879011
0.7916667	0.001887246
0.8333333	0.001909264
0.875	0.001925026
0.9166667	0.001933776
0.9583333	0.001941697
1	0.001969628
1.0416667	0.002120056
1.0833333	0.002321138
1.125	0.002423927
1.1666667	0.002494644
1.2083333	0.002580305
1.25	0.002643695
1.2916667	0.002717403
1.3333333	0.00278289
1.375	0.002798983
1.4166667	0.002798915
1.4583333	0.002797787
1.5	0.0027996
1.5416667	0.002769224
1.5833333	0.00272842
1.625	0.002596337
1.6666667	0.002560444
1.7083333	0.002585921
1.75	0.002579263
1.7916667	0.002545647
1.8333333	0.002509776
1.875	0.002461987
1.9166667	0.002405102
1.9583333	0.002351732
2	0.002310662
2.0416667	0.002283238
2.0833333	0.002241528
2.125	0.002198397
2.1666667	0.002160172
2.2083333	0.002132012
2.25	0.002074895
2.2916667	0.00204357
2.3333333	0.002018572
2.375	0.001979642
2.4166667	0.001974276
2.4583333	0.001959743
2.5	0.001938301
2.5416667	0.001922525
2.5833333	0.0019015
2.625	0.001885668
2.6666667	0.001888444
2.7083333	0.001887393
2.75	0.001963724
2.7916667	0.002103376
2.8333333	0.002144541
2.875	0.002159598
2.9166667	0.002202046
2.9583333	0.002235613
3	0.002236328
3.0416667	0.002231219
3.0833333	0.002228177
3.125	0.002206249
3.1666667	0.002188171
3.2083333	0.002160628
3.25	0.0021522
3.2916667	0.002135469
3.3333333	0.0021055
3.375	0.002084375
3.4166667	0.002062085
3.4583333	0.002034117
3.5	0.002015598
3.5416667	0.001998151
3.5833333	0.001971521
3.625	0.001942072
3.6666667	0.001919081
3.7083333	0.001878834
3.75	0.001867033
3.7916667	0.001845104
3.8333333	0.001826607
3.875	0.001798723
3.9166667	0.001781853
3.9583333	0.001788365
4	0.001784158
4.0416667	0.001804716
4.0833333	0.001854335
4.125	0.001922026
4.1666667	0.001998579
4.2083333	0.002121891
4.25	0.002267707
4.2916667	0.002355991
4.3333333	0.002442904
4.375	0.002761901
4.4166667	0.003178588
4.4583333	0.003519005
4.5	0.003779676
4.5416667	0.003962746
4.5833333	0.004080994
4.625	0.004087761
4.6666667	0.004052942
4.7083333	0.003984234
4.75	0.003911379
4.7916667	0.003844442
4.8333333	0.003738527
4.875	0.003671866
4.9166667	0.003588985
4.9583333	0.003510571
5	0.003431086
5.0416667	0.003376611
5.0833333	0.003338141
5.125	0.003306235
5.1666667	0.00327759
5.2083333	0.003240231
5.25	0.00321219
5.2916667	0.003177502
5.3333333	0.003124092
5.375	0.003074719
5.4166667	0.003014986
5.4583333	0.002986791
5.5	0.002958297
5.5416667	0.002883342
5.5833333	0.002813737
5.625	0.002771572
5.6666667	0.002688772
5.7083333	0.002513226
5.75	0.002486641
5.7916667	0.002483277
5.8333333	0.002471201
5.875	0.002438878
5.9166667	0.002409335
5.9583333	0.002387408
6	0.002353095
6.0416667	0.002304164
6.0833333	0.002273777
6.125	0.002255183
6.1666667	0.002237047
6.2083333	0.002210307
6.25	0.002187857
6.2916667	0.002173905
6.3333333	0.002167439
6.375	0.00217975
6.4166667	0.002224977
6.4583333	0.002270199
6.5	0.002319411
6.5416667	0.002347695
6.5833333	0.002356597
6.625	0.002367356
6.6666667	0.002358609
6.7083333	0.002349014
6.75	0.002329471
6.7916667	0.002302552
6.8333333	0.002282965
6.875	0.002254961
6.9166667	0.002227686
6.9583333	0.002198059
7	0.002165506
7.0416667	0.002143394
7.0833333	0.002117104
7.125	0.002092596
7.1666667	0.002059819
7.2083333	0.002043532
7.25	0.002018176
7.2916667	0.002014547
7.3333333	0.00199034
7.375	0.001964515
7.4166667	0.0019603
7.4583333	0.001945396
7.5	0.001928218
7.5416667	0.001901524
7.5833333	0.001890392
7.625	0.001873279
7.6666667	0.001846507
7.7083333	0.001829398
7.75	0.001823308
7.7916667	0.001818173
7.8333333	0.001799096
7.875	0.001780323
7.9166667	0.001758207
7.9583333	0.001749806
8	0.001733204
8.0416667	0.00172109
8.0833333	0.001699948
8.125	0.0016819
8.1666667	0.001675834
8.2083333	0.001662419
8.25	0.001626447
8.2916667	0.001629102
8.3333333	0.001624194
8.375	0.001618328
8.4166667	0.001607626
8.4583333	0.001600118
8.5	0.001637547
8.5416667	0.001679613
8.5833333	0.001652082
8.625	0.001612583
8.6666667	0.001459244
8.7083333	0.001588155
8.75	0.001554748
8.7916667	0.001561653
8.8333333	0.00160426
8.875	0.00160541
8.9166667	0.001599213
8.9583333	0.001593763
9	0.001594195
9.0416667	0.001594801
9.0833333	0.001588034
9.125	0.001582415
9.1666667	0.001570875
9.2083333	0.001569891
9.25	0.001561095
9.2916667	0.001556446
9.3333333	0.001544628
9.375	0.001543822
9.4166667	0.001540916
