#.t	.in_6
#d	W/m2
13.7083333	0.0
13.75	0.0
13.7916667	0.0
13.8333333	0.0
13.875	0.0
13.9166667	0.0
13.9583333	0.0
14.0	0.0
14.0416667	0.0
14.0833333	0.0
14.125	0.0
14.1666667	0.0
14.2083333	0.0
14.25	0.0
14.2916667	2.77778
14.3333333	30.55556
14.375	130.55556
14.4166667	208.33333
14.4583333	266.66667
14.5	225.0
14.5416667	166.66667
14.5833333	102.77778
14.625	19.44444
14.6666667	0.0
14.7083333	0.0
14.75	0.0
14.7916667	0.0
14.8333333	0.0
14.875	0.0
14.9166667	0.0
14.9583333	0.0
15.0	0.0
15.0416667	0.0
15.0833333	0.0
15.125	0.0
15.1666667	0.0
15.2083333	0.0
15.25	0.0
15.2916667	2.77778
15.3333333	61.11111
15.375	158.33333
15.4166667	247.22222
15.4583333	280.55556
15.5	266.66667
15.5416667	205.55556
15.5833333	119.44444
15.625	33.33333
15.6666667	0.0
15.7083333	0.0
15.75	0.0
15.7916667	0.0
15.8333333	0.0
15.875	0.0
15.9166667	0.0
15.9583333	0.0
16.0	0.0
16.0416667	0.0
16.0833333	0.0
16.125	0.0
16.1666667	0.0
16.2083333	0.0
16.25	0.0
16.2916667	5.55556
16.3333333	97.22222
16.375	166.66667
16.4166667	269.44444
16.4583333	258.33333
16.5	233.33333
16.5416667	208.33333
16.5833333	88.88889
16.625	30.55556
16.6666667	0.0
16.7083333	0.0
16.75	0.0
16.7916667	0.0
16.8333333	0.0
16.875	0.0
16.9166667	0.0
16.9583333	0.0
17.0	0.0
17.0416667	0.0
17.0833333	0.0
17.125	0.0
17.1666667	0.0
17.2083333	0.0
17.25	0.0
17.2916667	2.77778
17.3333333	41.66667
17.375	111.11111
17.4166667	119.44444
17.4583333	136.11111
17.5	97.22222
17.5416667	47.22222
17.5833333	30.55556
17.625	2.77778
17.6666667	0.0
17.7083333	0.0
17.75	0.0
17.7916667	0.0
17.8333333	0.0
17.875	0.0
17.9166667	0.0
17.9583333	0.0
18.0	0.0
18.0416667	0.0
18.0833333	0.0
18.125	0.0
18.1666667	0.0
18.2083333	0.0
18.25	0.0
18.2916667	0.0
18.3333333	5.55556
18.375	11.11111
18.4166667	13.88889
18.4583333	16.66667
18.5	80.55556
18.5416667	66.66667
18.5833333	50.0
18.625	8.33333
18.6666667	0.0
18.7083333	0.0
18.75	0.0
18.7916667	0.0
18.8333333	0.0
18.875	0.0
18.9166667	0.0
18.9583333	0.0
19.0	0.0
19.0416667	0.0
19.0833333	0.0
19.125	0.0
19.1666667	0.0
19.2083333	0.0
19.25	0.0
19.2916667	0.0
19.3333333	8.33333
19.375	36.11111
19.4166667	91.66667
19.4583333	130.55556
19.5	108.33333
19.5416667	63.88889
19.5833333	16.66667
19.625	5.55556
19.6666667	0.0
19.7083333	0.0
19.75	0.0
19.7916667	0.0
19.8333333	0.0
19.875	0.0
19.9166667	0.0
19.9583333	0.0
20.0	0.0
20.0416667	0.0
20.0833333	0.0
20.125	0.0
20.1666667	0.0
20.2083333	0.0
20.25	0.0
20.2916667	0.0
20.3333333	5.55556
20.375	8.33333
20.4166667	36.11111
20.4583333	52.77778
20.5	97.22222
20.5416667	50.0
20.5833333	25.0
20.625	8.33333
20.6666667	0.0
20.7083333	0.0
20.75	0.0
20.7916667	0.0
20.8333333	0.0
20.875	0.0
20.9166667	0.0
20.9583333	0.0
21.0	0.0
21.0416667	0.0
21.0833333	0.0
21.125	0.0
21.1666667	0.0
21.2083333	0.0
21.25	0.0
21.2916667	2.77778
21.3333333	22.22222
21.375	36.11111
21.4166667	25.0
21.4583333	55.55556
21.5	94.44444
21.5416667	113.88889
21.5833333	111.11111
21.625	5.55556
21.6666667	0.0
21.7083333	0.0
21.75	0.0
21.7916667	0.0
21.8333333	0.0
21.875	0.0
21.9166667	0.0
21.9583333	0.0
22.0	0.0
22.0416667	0.0
22.0833333	0.0
22.125	0.0
22.1666667	0.0
22.2083333	0.0
