#.t	.in_5
#d	degC
14.2083333	6.5
14.25	6.5
14.2916667	6.5
14.3333333	6.6
14.375	6.6
14.4166667	6.6
14.4583333	6.5
14.5	6.6
14.5416667	6.6
14.5833333	6.7
14.625	6.7
14.6666667	6.6
14.7083333	6.6
14.75	6.5
14.7916667	6.4
14.8333333	6.3
14.875	6.2
14.9166667	6.1
14.9583333	6.1
15.0	5.9
15.0416667	5.8
15.0833333	5.7
15.125	5.6
15.1666667	5.5
15.2083333	5.5
15.25	5.5
15.2916667	5.6
15.3333333	5.7
15.375	5.7
15.4166667	5.6
15.4583333	5.6
15.5	5.5
15.5416667	5.6
15.5833333	5.6
15.625	5.6
15.6666667	5.6
15.7083333	5.6
15.75	5.5
15.7916667	5.4
15.8333333	5.3
15.875	5.1
15.9166667	5.0
15.9583333	4.9
16.0	4.8
16.0416667	4.7
16.0833333	4.6
16.125	4.6
16.1666667	4.6
16.2083333	4.7
16.25	4.7
16.2916667	4.7
16.3333333	4.7
16.375	4.7
16.4166667	4.7
16.4583333	4.6
16.5	4.6
16.5416667	4.7
16.5833333	4.8
16.625	4.8
16.6666667	4.8
16.7083333	4.8
16.75	4.7
16.7916667	4.7
16.8333333	4.6
16.875	4.5
16.9166667	4.4
16.9583333	4.3
17.0	4.2
17.0416667	4.1
17.0833333	4.0
17.125	4.0
17.1666667	4.0
17.2083333	4.0
17.25	4.1
17.2916667	4.1
17.3333333	4.2
17.375	4.3
17.4166667	4.3
17.4583333	4.3
17.5	4.4
17.5416667	4.3
17.5833333	4.2
17.625	4.3
17.6666667	4.4
17.7083333	4.5
17.75	4.5
17.7916667	4.5
17.8333333	4.5
17.875	4.5
17.9166667	4.4
17.9583333	4.4
18.0	4.4
18.0416667	4.3
18.0833333	4.3
18.125	4.4
18.1666667	4.5
18.2083333	4.6
18.25	4.8
18.2916667	5.0
18.3333333	5.1
18.375	5.3
18.4166667	5.4
18.4583333	5.5
18.5	5.6
18.5416667	5.7
18.5833333	5.9
18.625	6.1
18.6666667	6.3
18.7083333	6.4
18.75	6.6
18.7916667	6.8
18.8333333	7.0
18.875	7.5
18.9166667	7.8
18.9583333	7.6
19.0	7.3
19.0416667	7.1
19.0833333	7.0
19.125	7.1
19.1666667	7.1
19.2083333	7.0
19.25	6.8
19.2916667	6.7
19.3333333	6.6
19.375	6.5
19.4166667	6.4
19.4583333	6.4
19.5	6.4
19.5416667	6.4
19.5833333	6.5
19.625	6.5
19.6666667	6.4
19.7083333	6.3
19.75	6.2
19.7916667	6.1
19.8333333	6.1
19.875	6.1
19.9166667	6.1
19.9583333	6.1
20.0	6.1
20.0416667	6.0
20.0833333	5.9
20.125	5.8
20.1666667	5.8
20.2083333	5.8
20.25	5.8
20.2916667	5.8
20.3333333	5.8
20.375	5.8
20.4166667	5.8
20.4583333	5.8
20.5	5.8
20.5416667	5.8
20.5833333	5.8
20.625	5.9
20.6666667	5.9
20.7083333	6.0
20.75	6.0
20.7916667	6.0
20.8333333	6.0
20.875	6.1
20.9166667	6.1
20.9583333	6.2
21.0	6.3
21.0416667	6.3
21.0833333	6.4
21.125	6.4
21.1666667	6.6
21.2083333	6.7
21.25	6.7
21.2916667	6.6
21.3333333	6.6
21.375	6.5
21.4166667	6.4
21.4583333	6.3
21.5	6.3
21.5416667	6.3
21.5833333	6.3
21.625	6.3
21.6666667	6.4
21.7083333	6.4
21.75	6.4
21.7916667	6.4
21.8333333	6.3
21.875	6.3
21.9166667	6.3
21.9583333	6.3
22.0	6.3
22.0416667	6.3
22.0833333	6.4
22.125	6.3
22.1666667	6.3
22.2083333	6.3
22.25	6.2
22.2916667	6.2
22.3333333	6.2
22.375	6.2
22.4166667	6.2
22.4583333	6.2
22.5	6.2
22.5416667	6.2
22.5833333	6.2
22.625	6.3
22.6666667	6.4
22.7083333	6.4
22.75	6.3
22.7916667	6.3
22.8333333	6.2
22.875	6.1
22.9166667	6.1
22.9583333	6.1
23.0	6.1
23.0416667	6.0
23.0833333	6.1
23.125	6.1
23.1666667	6.1
23.2083333	6.0
23.25	5.9
23.2916667	5.9
23.3333333	5.8
23.375	5.8
23.4166667	5.9
23.4583333	6.2
23.5	6.5
23.5416667	6.7
23.5833333	6.7
23.625	6.6
23.6666667	6.4
23.7083333	6.3
23.75	6.1
23.7916667	6.0
23.8333333	5.9
23.875	5.8
23.9166667	5.7
23.9583333	5.7
24.0	5.7
24.0416667	5.7
24.0833333	5.7
24.125	5.7
24.1666667	5.7
24.2083333	5.7
24.25	5.7
24.2916667	5.7
24.3333333	5.7
24.375	5.7
24.4166667	5.7
24.4583333	5.7
24.5	5.7
24.5416667	5.7
24.5833333	5.7
24.625	5.8
24.6666667	5.8
24.7083333	5.8
24.75	5.8
24.7916667	5.8
24.8333333	5.8
24.875	5.8
24.9166667	5.8
24.9583333	5.8
25.0	5.8
25.0416667	5.9
25.0833333	5.9
25.125	6.0
25.1666667	6.0
25.2083333	6.1
25.25	6.1
25.2916667	6.1
25.3333333	6.1
25.375	6.1
25.4166667	6.1
25.4583333	6.2
25.5	6.2
25.5416667	6.2
25.5833333	6.3
25.625	6.3
25.6666667	6.4
25.7083333	6.4
25.75	6.4
25.7916667	6.4
25.8333333	6.3
25.875	6.3
25.9166667	6.3
25.9583333	6.3
26.0	6.2
26.0416667	6.2
26.0833333	6.3
26.125	6.3
26.1666667	6.3
26.2083333	6.5
26.25	6.7
26.2916667	6.5
26.3333333	6.4
26.375	6.6
26.4166667	6.8
26.4583333	6.9
26.5	7.0
26.5416667	7.1
26.5833333	7.1
26.625	7.0
26.6666667	7.0
26.7083333	6.9
26.75	6.8
26.7916667	6.7
26.8333333	6.6
26.875	6.6
26.9166667	6.5
26.9583333	6.4
27.0	6.3
27.0416667	6.3
27.0833333	6.3
27.125	6.3
27.1666667	6.3
27.2083333	6.3
27.25	6.3
27.2916667	6.3
27.3333333	6.3
27.375	6.2
27.4166667	6.2
27.4583333	6.1
27.5	6.1
27.5416667	6.2
27.5833333	6.2
27.625	6.2
27.6666667	6.2
27.7083333	6.2
27.75	6.2
27.7916667	6.1
27.8333333	6.0
27.875	6.0
27.9166667	6.0
27.9583333	6.3
28.0	6.6
28.0416667	6.7
28.0833333	6.6
28.125	6.5
28.1666667	6.3
28.2083333	6.3
28.25	6.2
28.2916667	6.1
28.3333333	6.1
28.375	6.0
28.4166667	5.9
28.4583333	5.8
28.5	5.8
28.5416667	5.7
28.5833333	5.7
28.625	5.6
28.6666667	5.5
28.7083333	5.5
28.75	5.4
28.7916667	5.3
28.8333333	5.2
28.875	5.1
28.9166667	5.1
28.9583333	5.0
29.0	4.9
29.0416667	4.9
29.0833333	4.8
29.125	4.8
29.1666667	4.7
29.2083333	4.8
29.25	4.9
29.2916667	4.9
29.3333333	4.9
29.375	4.9
29.4166667	4.9
29.4583333	4.8
29.5	4.8
29.5416667	4.8
29.5833333	4.8
29.625	4.8
29.6666667	4.8
29.7083333	4.8
29.75	4.7
29.7916667	4.6
29.8333333	4.6
29.875	4.5
29.9166667	4.4
29.9583333	4.4
30.0	4.3
30.0416667	4.3
30.0833333	4.3
30.125	4.3
30.1666667	4.3
30.2083333	4.4
30.25	4.4
30.2916667	4.4
30.3333333	4.3
30.375	4.3
30.4166667	4.2
30.4583333	4.0
30.5	4.0
30.5416667	4.1
30.5833333	4.1
30.625	4.2
30.6666667	4.2
30.7083333	4.1
30.75	4.0
30.7916667	3.9
30.8333333	3.7
30.875	3.6
30.9166667	3.4
30.9583333	3.2
31.0	3.1
31.0416667	3.0
31.0833333	2.8
31.125	2.7
31.1666667	2.7
31.2083333	2.8
31.25	2.9
31.2916667	2.8
31.3333333	2.7
31.375	2.6
31.4166667	2.5
31.4583333	2.5
31.5	2.5
31.5416667	2.5
31.5833333	2.5
31.625	2.6
31.6666667	2.6
31.7083333	2.5
31.75	2.5
31.7916667	2.4
31.8333333	2.2
31.875	2.0
31.9166667	1.9
31.9583333	1.7
32.0	1.5
32.0416667	1.4
32.0833333	1.4
32.125	1.3
32.1666667	1.3
32.2083333	1.4
32.25	1.3
32.2916667	1.2
32.3333333	1.1
32.375	1.2
32.4166667	1.1
32.4583333	1.1
32.5	1.1
32.5416667	1.2
32.5833333	1.3
32.625	1.4
32.6666667	1.5
32.7083333	1.5
32.75	1.4
32.7916667	1.3
32.8333333	1.3
32.875	1.2
32.9166667	1.0
32.9583333	0.9
33.0	0.9
33.0416667	0.8
33.0833333	0.8
33.125	0.8
33.1666667	0.8
33.2083333	0.8
33.25	0.7
33.2916667	0.7
33.3333333	0.7
33.375	0.7
33.4166667	0.7
33.4583333	0.8
33.5	0.9
33.5416667	1.0
33.5833333	1.1
33.625	1.2
33.6666667	1.2
33.7083333	1.3
33.75	1.3
33.7916667	1.3
33.8333333	1.3
33.875	1.3
33.9166667	1.2
33.9583333	1.1
34.0	1.0
34.0416667	0.8
34.0833333	0.7
34.125	0.6
34.1666667	0.6
34.2083333	0.5
34.25	0.5
34.2916667	0.6
34.3333333	0.6
34.375	0.6
34.4166667	0.6
34.4583333	0.6
34.5	0.8
34.5416667	1.0
34.5833333	1.1
34.625	1.1
34.6666667	1.2
34.7083333	1.2
34.75	1.3
34.7916667	1.3
34.8333333	1.3
34.875	1.2
34.9166667	1.1
34.9583333	1.0
35.0	0.9
35.0416667	0.8
35.0833333	0.7
35.125	0.6
35.1666667	0.5
35.2083333	0.5
35.25	0.6
35.2916667	0.6
35.3333333	0.7
35.375	0.8
35.4166667	1.0
35.4583333	1.1
35.5	1.2
35.5416667	1.3
35.5833333	1.5
35.625	1.7
35.6666667	1.8
35.7083333	1.8
35.75	1.9
35.7916667	1.9
35.8333333	1.9
35.875	1.9
35.9166667	1.8
35.9583333	1.8
36.0	1.7
36.0416667	1.6
36.0833333	1.5
36.125	1.5
36.1666667	1.4
36.2083333	1.3
36.25	1.3
36.2916667	1.3
36.3333333	1.4
36.375	1.4
36.4166667	1.5
36.4583333	1.6
36.5	1.7
36.5416667	1.8
36.5833333	1.9
36.625	2.0
36.6666667	2.1
36.7083333	2.1
36.75	2.1
36.7916667	2.0
36.8333333	2.0
36.875	1.8
36.9166667	1.7
36.9583333	1.5
37.0	1.3
37.0416667	1.2
37.0833333	1.0
37.125	0.9
37.1666667	0.8
37.2083333	0.8
37.25	0.8
37.2916667	0.8
37.3333333	0.8
37.375	0.9
37.4166667	0.9
37.4583333	0.9
37.5	0.9
37.5416667	1.0
37.5833333	1.2
37.625	1.2
37.6666667	1.3
37.7083333	1.3
37.75	1.4
37.7916667	1.4
37.8333333	1.4
37.875	1.3
37.9166667	1.2
37.9583333	1.2
38.0	1.1
38.0416667	1.1
38.0833333	1.0
38.125	1.0
38.1666667	0.9
38.2083333	0.9
38.25	0.9
38.2916667	1.1
38.3333333	1.2
38.375	1.3
38.4166667	1.4
38.4583333	1.5
38.5	1.6
38.5416667	1.7
38.5833333	1.9
38.625	2.0
38.6666667	2.1
38.7083333	2.2
38.75	2.2
38.7916667	2.2
38.8333333	2.2
38.875	2.2
38.9166667	2.2
38.9583333	2.1
39.0	2.0
39.0416667	1.8
39.0833333	1.6
39.125	1.5
39.1666667	1.4
39.2083333	1.3
39.25	1.2
39.2916667	1.3
39.3333333	1.3
39.375	1.4
39.4166667	1.5
39.4583333	1.6
39.5	1.6
39.5416667	1.7
39.5833333	1.8
39.625	1.9
39.6666667	2.0
39.7083333	2.1
39.75	2.1
39.7916667	2.1
39.8333333	2.1
39.875	2.1
39.9166667	2.0
39.9583333	2.0
40.0	1.9
40.0416667	1.7
40.0833333	1.6
40.125	1.5
40.1666667	1.4
40.2083333	1.4
40.25	1.3
40.2916667	1.4
40.3333333	1.4
40.375	1.5
40.4166667	1.5
40.4583333	1.6
40.5	1.7
40.5416667	1.8
40.5833333	2.0
40.625	2.1
40.6666667	2.1
40.7083333	2.1
40.75	2.1
40.7916667	2.1
40.8333333	2.1
40.875	2.1
40.9166667	2.0
40.9583333	1.9
41.0	1.8
41.0416667	1.7
41.0833333	1.5
41.125	1.3
41.1666667	1.2
41.2083333	1.1
41.25	1.1
41.2916667	1.1
41.3333333	1.1
41.375	1.1
41.4166667	1.2
41.4583333	1.2
41.5	1.3
41.5416667	1.4
41.5833333	1.6
41.625	1.8
41.6666667	1.8
41.7083333	1.9
41.75	1.9
41.7916667	1.9
41.8333333	1.9
41.875	1.8
41.9166667	1.8
41.9583333	1.7
42.0	1.7
42.0416667	1.6
42.0833333	1.5
42.125	1.4
42.1666667	1.3
42.2083333	1.2
42.25	1.1
42.2916667	1.1
42.3333333	1.1
42.375	1.2
42.4166667	1.4
42.4583333	1.6
42.5	1.8
42.5416667	2.0
42.5833333	2.1
42.625	2.3
42.6666667	2.4
42.7083333	2.4
42.75	2.5
42.7916667	2.5
42.8333333	2.5
42.875	2.5
42.9166667	2.5
42.9583333	2.5
43.0	2.5
43.0416667	2.5
43.0833333	2.4
43.125	2.4
43.1666667	2.3
43.2083333	2.2
43.25	2.2
43.2916667	2.2
43.3333333	2.2
43.375	2.2
43.4166667	2.4
43.4583333	2.6
43.5	2.9
43.5416667	3.1
43.5833333	3.3
43.625	3.4
43.6666667	3.5
43.7083333	3.5
43.75	3.5
43.7916667	3.5
43.8333333	3.5
43.875	3.5
43.9166667	3.4
43.9583333	3.4
44.0	3.3
44.0416667	3.1
44.0833333	3.1
44.125	2.9
44.1666667	2.6
44.2083333	2.7
44.25	3.0
44.2916667	3.3
44.3333333	3.7
44.375	3.9
44.4166667	4.2
44.4583333	4.4
44.5	4.6
44.5416667	4.7
44.5833333	4.8
44.625	4.8
44.6666667	4.9
44.7083333	4.8
44.75	4.7
44.7916667	4.6
44.8333333	4.6
44.875	4.5
44.9166667	4.4
44.9583333	4.4
45.0	4.4
45.0416667	4.4
45.0833333	4.3
45.125	4.3
45.1666667	4.3
45.2083333	4.2
45.25	4.1
45.2916667	4.1
45.3333333	4.0
45.375	3.8
45.4166667	3.7
45.4583333	3.7
45.5	3.7
45.5416667	3.7
45.5833333	3.8
45.625	4.0
45.6666667	4.2
45.7083333	4.4
45.75	4.5
45.7916667	4.5
45.8333333	4.5
45.875	4.4
45.9166667	4.4
45.9583333	4.3
46.0	4.3
46.0416667	4.3
46.0833333	4.3
46.125	4.2
46.1666667	4.1
46.2083333	4.1
46.25	4.1
