#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121	0.59282134	0.36865487	0.15789613	0.59768633	0.37048991	0.15838916	0.60420158	0.3729384	0.15904539	0.60952035	0.3749297	0.15957771	0.61087622	0.37543625	0.15971294
121.01	0.62720364	0.38150142	0.16132576	0.59905535	0.37100523	0.15852743	0.60355904	0.37269738	0.15898087	0.60892302	0.3747064	0.15951808	0.61070089	0.37537077	0.15969546
121.02	0.65853643	0.39297521	0.16434728	0.6037084	0.37275339	0.15899586	0.60330702	0.37260282	0.15895556	0.6083394	0.37448814	0.15945978	0.61048168	0.3752889	0.15967361
121.03	0.68683694	0.40315326	0.16699471	0.61110933	0.37552264	0.15973587	0.6037514	0.37276954	0.15900019	0.60782951	0.3742974	0.15940881	0.61022627	0.37519348	0.15964814
121.04	0.71265145	0.41230578	0.16935213	0.62049514	0.37901702	0.16066649	0.60499257	0.37323495	0.15912474	0.60745508	0.37415728	0.15937137	0.60995204	0.37509103	0.15962079
121.05	0.73692586	0.42079425	0.1715177	0.63162377	0.38313382	0.16175812	0.60719842	0.37406119	0.15934568	0.60730346	0.37410054	0.1593562	0.60967828	0.37498873	0.15959347
121.06	0.75880975	0.42835348	0.17342982	0.64413125	0.38772691	0.16296999	0.6104421	0.37527403	0.15966963	0.60746033	0.37415925	0.1593719	0.60943388	0.37489738	0.15956908
121.07	0.77844864	0.43506759	0.17511596	0.65758701	0.39263092	0.16425722	0.6147052	0.37686437	0.16009373	0.60798915	0.37435712	0.15942477	0.60924945	0.37482844	0.15955067
121.08	0.79579109	0.44093766	0.17657984	0.67173959	0.3977432	0.16559098	0.62008994	0.3788664	0.16062642	0.60901571	0.37474103	0.15952733	0.60917646	0.37480115	0.15954339
121.09	0.81176897	0.44631116	0.17791382	0.68618701	0.40292723	0.16693728	0.62626597	0.38115577	0.16123432	0.6104579	0.37528001	0.15967124	0.60921837	0.37481682	0.15954757
121.1	0.82620064	0.45112544	0.17910215	0.70085325	0.40814271	0.16828339	0.63345234	0.38380792	0.16193644	0.61250611	0.3760446	0.15987523	0.60945437	0.37490504	0.15957113
121.11	0.83900519	0.45536997	0.18014516	0.71549742	0.41330856	0.1696093	0.6414697	0.38675307	0.16271368	0.61514645	0.37702877	0.16013754	0.60991335	0.37507657	0.15961693
121.12	0.85023341	0.45906985	0.18105049	0.72992919	0.41835596	0.17089713	0.65029157	0.38997554	0.16356085	0.61846748	0.37826403	0.1604663	0.61066836	0.3753586	0.15969221
121.13	0.86070087	0.46250573	0.18188892	0.74410989	0.42328642	0.17214997	0.65962152	0.39336935	0.1644505	0.62227345	0.37967722	0.16084198	0.61165496	0.37572699	0.15979051
121.14	0.87062438	0.46574608	0.18267669	0.75788962	0.42803773	0.17335032	0.66958055	0.39696873	0.1653899	0.62679975	0.38135296	0.16128656	0.61302626	0.37623859	0.15992695
121.15	0.87932706	0.4685756	0.18336247	0.77119334	0.43259165	0.17449496	0.68000282	0.4007119	0.16636262	0.63198319	0.38326574	0.16179291	0.61479359	0.37689722	0.16010247
121.16	0.88713254	0.47110552	0.18397428	0.78404961	0.4369673	0.17559039	0.69073285	0.40454513	0.1673551	0.6376954	0.38536732	0.1623481	0.61691286	0.37768611	0.16031254
121.17	0.89408236	0.47335085	0.18451601	0.79634635	0.44112692	0.17662726	0.70172291	0.40844779	0.16836139	0.64397551	0.38766956	0.16295483	0.61944327	0.37862669	0.16056277
121.18	0.90043799	0.47539861	0.18500911	0.80808848	0.44507724	0.17760817	0.71288076	0.41238773	0.16937334	0.65076191	0.39014853	0.16360654	0.62237418	0.37971448	0.16085185
