#.t	.River_1.DO	.River_1.NH4	.River_2.DO	.River_2.NH4	.River_3.DO	.River_3.NH4	.River_4.DO	.River_4.NH4	.River_5.DO	.River_5.NH4
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
121.48	9.0911971	0.049264844	9.5647161	0.04853339	9.7713491	0.047769918	9.8645955	0.046944297	9.909489	0.046052708
121.49	9.0851747	0.049263357	9.5567466	0.0485328	9.7629511	0.04777282	9.856089	0.046952863	9.9009335	0.046066798
121.5	9.0789988	0.049261822	9.54857	0.04853198	9.7542834	0.04777533	9.8472949	0.046960915	9.8920842	0.046080437
121.51	9.0738881	0.049259394	9.5402332	0.048530816	9.7453219	0.047777352	9.8381819	0.046968319	9.8829094	0.04609349
121.52	9.0685948	0.049256962	9.5318604	0.048529244	9.7361291	0.047778896	9.8288038	0.046975103	9.8734638	0.046105961
121.53	9.0630246	0.049254619	9.5234346	0.048527368	9.7267719	0.047780011	9.8192241	0.046981336	9.8638105	0.046117898
121.54	9.0572184	0.049252318	9.5149121	0.048525213	9.7172399	0.04778068	9.8094294	0.046986994	9.8539336	0.046129265
121.55	9.0512004	0.049249934	9.5061571	0.048522808	9.7074263	0.047780932	9.7993162	0.046992114	9.8437243	0.046140088
121.56	9.0445146	0.049247491	9.4968294	0.04852007	9.6969949	0.047780652	9.788542	0.046996551	9.8328279	0.04615021
121.57	9.037155	0.049245053	9.4869334	0.048517064	9.6859935	0.04777988	9.7771675	0.047000341	9.8213109	0.046159654
121.58	9.0292668	0.049242611	9.4765638	0.048513818	9.6745228	0.047778652	9.7652989	0.047003524	9.8092858	0.046168448
121.59	9.0210121	0.049239973	9.4656236	0.048510339	9.6624967	0.047776972	9.7528578	0.047006097	9.7966735	0.046176579
121.6	9.0119552	0.049237146	9.4537871	0.048506529	9.6495663	0.047774759	9.7394987	0.047007954	9.7831234	0.046183925
121.61	9.0020307	0.049234261	9.4410837	0.04850243	9.6357905	0.04777203	9.7252916	0.0470091	9.7687132	0.046190478
121.62	8.9915663	0.049231332	9.4278169	0.048498115	9.6214573	0.047768924	9.7105235	0.047009733	9.7537381	0.04619645
121.63	8.9809371	0.049228171	9.4140527	0.048493555	9.6066256	0.047765346	9.6952605	0.047009687	9.7382709	0.046201635
121.64	8.9708801	0.049224943	9.4006055	0.048488845	9.5920509	0.047761451	9.6802526	0.047009138	9.7230757	0.046206208
121.65	8.9613651	0.049221856	9.387696	0.048484062	9.5779658	0.047757273	9.6657296	0.047008091	9.7083809	0.046210155
121.66	8.95225	0.049218877	9.3752263	0.048479206	9.5642726	0.047752852	9.6515851	0.047006625	9.6940728	0.04621356
121.67	8.9436409	0.049215902	9.3631877	0.048474319	9.5509817	0.047748232	9.6378324	0.047004786	9.6801611	0.046216474
121.68	8.9359239	0.049212948	9.3519533	0.048469428	9.5384398	0.047743427	9.6248103	0.047002552	9.6669848	0.046218839
121.69	8.9289664	0.049210197	9.341626	0.04846458	9.5267606	0.04773849	9.6126292	0.046999977	9.6546498	0.046220703
121.7	8.9225986	0.049207613	9.3320618	0.048459798	9.5158286	0.04773344	9.6011731	0.046997085	9.643033	0.046222085
121.71	8.9165533	0.049205157	9.3229569	0.04845506	9.5053496	0.04772833	9.5901563	0.046994015	9.6318509	0.04622319
121.72	8.9110883	0.049203103	9.3148277	0.048450474	9.4958593	0.047723168	9.5801059	0.04699067	9.6216251	0.046223833
121.73	8.9064603	0.049201325	9.3077492	0.04844613	9.4874684	0.047718033	9.5711376	0.046987143	9.61247	0.046224117
121.74	8.9025963	0.049199688	9.3015696	0.048441984	9.4800111	0.047712934	9.563089	0.046983456	9.6042215	0.046224068
121.75	8.8993115	0.049198198	9.2961391	0.048438057	9.4733622	0.047707897	9.5558458	0.046979633	9.5967637	0.046223711
121.76	8.8963589	0.049196948	9.2913413	0.048434325	9.4674025	0.047702931	9.5492931	0.046975696	9.5899834	0.046223075
121.77	8.8938301	0.049195859	9.2871634	0.048430838	9.4621533	0.047698057	9.5434578	0.046971649	9.5839075	0.046222141
121.78	8.89171	0.049194842	9.2835286	0.048427547	9.4575143	0.047693283	9.5382428	0.046967516	9.5784412	0.046220932
121.79	8.8899245	0.049193891	9.2803455	0.048424467	9.4534103	0.047688628	9.5335824	0.046963313	9.5735204	0.046219469
121.8	8.8886749	0.049192971	9.2777569	0.048421591	9.4499588	0.047684129	9.5295952	0.046959088	9.5692666	0.046217795
121.81	8.8883023	0.04919212	9.2760943	0.048418956	9.4474722	0.047679841	9.5265858	0.046954907	9.5659847	0.046215971
121.82	8.8885771	0.049191421	9.2752627	0.04841654	9.4458527	0.047675766	9.524458	0.046950787	9.5635802	0.04621402
121.83	8.8893264	0.049190839	9.2750586	0.048414331	9.4449099	0.047671881	9.523025	0.046946728	9.5618676	0.046211966
121.84	8.8905569	0.049190417	9.2755917	0.048412353	9.4447592	0.04766824	9.5224046	0.04694277	9.5609675	0.046209802
