#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121.32	0.72632815	0.41710342	0.17057876	0.71056812	0.41157441	0.16916503	0.68540521	0.40264773	0.16686488	0.65754338	0.39261514	0.1642531	0.63476233	0.38428991	0.16206378
121.33	0.72702832	0.41734797	0.1706411	0.712357	0.41220434	0.16932652	0.68826662	0.40366909	0.16712917	0.66071821	0.39376646	0.16455428	0.63737367	0.38524996	0.16231728
121.34	0.72762528	0.41755642	0.17069423	0.71403061	0.41279317	0.16947738	0.69101482	0.4046486	0.16738237	0.66385976	0.39490375	0.16485143	0.64004409	0.38623026	0.16257587
121.35	0.72812352	0.41773034	0.17073854	0.71558588	0.4133399	0.16961737	0.69364886	0.40558607	0.16762447	0.66696154	0.39602471	0.16514398	0.64276492	0.38722755	0.16283866
121.36	0.7285656	0.41788461	0.17077784	0.71700573	0.41383857	0.16974497	0.69614495	0.40647301	0.16785327	0.67000379	0.39712196	0.16542994	0.64553308	0.38824032	0.1631052
121.37	0.72895468	0.41802036	0.17081242	0.71830622	0.41429497	0.1698617	0.69851288	0.40731322	0.1680698	0.67298117	0.39819386	0.16570894	0.64833233	0.38926265	0.16337393
121.38	0.72965333	0.41826405	0.17087448	0.71954696	0.41473018	0.16997297	0.70078816	0.40811979	0.16827752	0.67590488	0.3992451	0.16598234	0.65114659	0.39028918	0.16364353
121.39	0.73054294	0.41857421	0.17095345	0.72073081	0.41514512	0.17007899	0.70292936	0.40887773	0.16847252	0.67874494	0.40026429	0.16624704	0.65397911	0.39132036	0.163914
121.4	0.73133391	0.41884986	0.1710236	0.72186661	0.41554295	0.1701806	0.70495955	0.40959553	0.16865705	0.68150223	0.40125215	0.16650332	0.65680636	0.39234783	0.16418317
121.41	0.73203372	0.41909364	0.17108563	0.72295996	0.41592568	0.17027832	0.70688646	0.41027604	0.16883185	0.68417245	0.40220726	0.16675082	0.65962389	0.39336997	0.16445062
