#.t	.River_1.C(rBOD1)	.River_1.C(rBOD1p)	.River_1.C(rBOD2)	.River_1.C(rBOD2p)	.River_1.C(rBODs)	.River_1.DO	.River_2.C(rBOD1)	.River_2.C(rBOD1p)	.River_2.C(rBOD2)	.River_2.C(rBOD2p)	.River_2.C(rBODs)	.River_2.DO	.River_3.C(rBOD1)	.River_3.C(rBOD1p)	.River_3.C(rBOD2)	.River_3.C(rBOD2p)	.River_3.C(rBODs)	.River_3.DO	.River_4.C(rBOD1)	.River_4.C(rBOD1p)	.River_4.C(rBOD2)	.River_4.C(rBOD2p)	.River_4.C(rBODs)	.River_4.DO	.River_5.C(rBOD1)	.River_5.C(rBOD1p)	.River_5.C(rBOD2)	.River_5.C(rBOD2p)	.River_5.C(rBODs)	.River_5.DO	.Urban_InputEmulator.Outflow(rBOD1)	.Urban_InputEmulator.Outflow(rBOD1p)	.Urban_InputEmulator.Outflow(rBOD2)	.Urban_InputEmulator.Outflow(rBOD2p)
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d	g/d	g/d	g/d
121.12	2.9134638	0.0069007297	0.97822415	0.0025025967	0.1843023	8.1441788	2.8431079	0.003957677	0.96357529	0.0005883781	13.168963	7.1360932	2.7994884	0.0019846839	0.97850889	0.00012856396	4.6708338	7.0122495	2.8263774	0.00094560324	1.0881203	2.7210596e-005	1.5412431	7.15308	2.9931292	0.00045644256	1.3934857	5.8295526e-006	0.54292669	7.3041854	0	0	0	0
121.13	2.9125529	0.0069946242	0.97799333	0.0025083454	0.18367408	8.1568765	2.8412438	0.0040943371	0.96286663	0.00059367433	13.010768	7.173674	2.7956633	0.0020856059	0.97565766	0.00013074374	4.6221146	7.0523947	2.8175312	0.00099912862	1.0786232	2.7699439e-005	1.5280475	7.193918	2.9743845	0.00048111858	1.3702492	5.8962559e-006	0.53876742	7.3460553	0	0	0	0
121.14	2.9117225	0.0070796657	0.97778274	0.0025141718	0.18310033	8.1681934	2.8394748	0.004225245	0.96220027	0.00059871488	12.85627	7.2096493	2.7920168	0.0021875816	0.97297103	0.00013286024	4.5731381	7.0913696	2.8090764	0.0010552495	1.0696065	2.821973e-005	1.514638	7.2335024	2.9563968	0.00050745311	1.348027	5.9783005e-006	0.53458389	7.3867095	0	0	0	0
121.15	2.9109412	0.0071563412	0.9775845	0.0025184363	0.18261653	8.1783681	2.8377906	0.0043502934	0.96157171	0.00060336573	12.705768	7.2440159	2.7885349	0.0022900302	0.97043502	0.00013492483	4.5240841	7.1291722	2.8009845	0.0011137502	1.0610321	2.8758409e-005	1.5010333	7.2718695	2.9391104	0.00053544243	1.3267418	6.0731084e-006	0.53036968	7.4261762	0	0	0	0
121.16	2.9102031	0.0072261643	0.97739716	0.0025216094	0.18220527	8.1876268	2.8361792	0.0044698976	0.96097542	0.00060763622	12.559168	7.2769442	2.7851974	0.0023924607	0.96803	0.00013692147	4.4751204	7.1659054	2.7932126	0.0011742639	1.0528448	2.9309028e-005	1.4872718	7.3091496	2.9224411	0.00056496389	1.3062776	6.1778157e-006	0.52612456	7.464579	0	0	0	0
121.17	2.9095145	0.0072897016	0.97722226	0.0025243717	0.18185028	8.1960539	2.8346395	0.0045838245	0.96041077	0.00061151132	12.416753	7.3084472	2.7820041	0.0024944874	0.96575491	0.00013883571	4.4263879	7.2015654	2.7857626	0.0012367083	1.0450442	2.9866904e-005	1.4733691	7.3453566	2.906392	0.0005960861	1.2866353	6.2912896e-006	0.52184553	7.5019281	0	0	0	0
121.18	2.9088731	0.0073483517	0.97705928	0.0025273012	0.1815293	8.2038551	2.833161	0.0046928166	0.95987271	0.00061507666	12.277984	7.3387865	2.7789327	0.0025958798	0.96358906	0.00014067449	4.377955	7.2363399	2.7785865	0.001300713	1.037571	3.0427169e-005	1.4593609	7.3806907	2.890871	0.0006286134	1.2676907	6.4113373e-006	0.5175359	7.5384181	0	0	0	0
121.19	2.908283	0.0074009729	0.97690922	0.0025297793	0.18126262	8.210996	2.8317613	0.0047954396	0.95936812	0.00061832187	12.143872	7.3677167	2.7760157	0.0026960053	0.96156005	0.00014241246	4.3300619	7.2700154	2.7717595	0.0013665359	1.0305124	3.0985134e-005	1.4452469	7.4149584	2.8760239	0.00066298511	1.2496324	6.53837e-006	0.51318574	7.5738552	0	0	0	0
121.2	2.9077336	0.0074482575	0.97676944	0.0025315341	0.1810529	8.2176069	2.8304324	0.0048920377	0.95889346	0.00062123653	12.0143	7.3953523	2.7732399	0.0027944895	0.95965506	0.00014404388	4.2828293	7.3026476	2.7652553	0.0014338314	1.0238345	3.15369e-005	1.4310691	7.4482265	2.8618018	0.0006991033	1.2323925	6.6704369e-006	0.508798	7.6082999	0	0	0	0
121.21	2.9072169	0.0074917571	0.97663791	0.0025330693	0.18087861	8.2239953	2.8291567	0.0049838671	0.95844115	0.00062387001	11.888347	7.4221267	2.7705714	0.0028913687	0.95784427	0.00014559456	4.236209	7.3346088	2.7590003	0.0015021192	1.0174501	3.2079479e-005	1.416863	7.4808757	2.8480657	0.00073660707	1.2157876	6.8054221e-006	0.50437995	7.642129	0	0	0	0
