#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
0.32	1.9649513	0.76595254	0.24707458	1.9343535	0.75861587	0.24566624	1.8083968	0.72793957	0.23970179	1.5597591	0.66489494	0.22703686	1.2397569	0.57780017	0.20853472
0.33	1.9636196	0.76563412	0.2470136	1.9389384	0.75971799	0.24587824	1.8277419	0.732702	0.24063588	1.5970948	0.67459139	0.22902199	1.2853823	0.59069835	0.21135479
0.34	1.9628646	0.76545358	0.24697902	1.942622	0.76060272	0.24604831	1.8447263	0.73686703	0.24145022	1.6317589	0.68351393	0.23083579	1.3301526	0.60317764	0.21405412
0.35	1.9626834	0.76541024	0.24697072	1.9457695	0.76135827	0.24619348	1.8600022	0.74060276	0.24217899	1.6643055	0.69183703	0.23251899	1.3740194	0.61527614	0.21664991
0.36	1.9626442	0.76540086	0.24696892	1.9483768	0.76198374	0.24631359	1.8732209	0.74382469	0.24280582	1.6940853	0.69939149	0.23403694	1.4164529	0.62682313	0.2191018
0.37	1.9624284	0.76534925	0.24695903	1.9505045	0.7624939	0.24641152	1.8846189	0.74659524	0.24334364	1.7211254	0.70620265	0.23539782	1.4570823	0.63774217	0.22139803
0.38	1.9619852	0.76524325	0.24693873	1.9523587	0.76293838	0.24649682	1.8950065	0.74911639	0.24383243	1.7465379	0.71257833	0.23666761	1.4964996	0.64825894	0.22359722
0.39	1.9614251	0.76510925	0.24691305	1.9538131	0.76328689	0.24656368	1.9039458	0.75128125	0.2442514	1.7694991	0.71830508	0.23780274	1.5339187	0.65813449	0.22564478
0.4	1.9609754	0.76500166	0.24689244	1.9548998	0.76354721	0.24661361	1.9115166	0.75311121	0.244605	1.7899812	0.72338572	0.23880537	1.5690249	0.66730225	0.22752985
0.41	1.9605701	0.76490468	0.24687386	1.9558455	0.76377373	0.24665706	1.9183822	0.75476895	0.24492505	1.8090577	0.72810329	0.23973406	1.6026917	0.67604156	0.22931833
0.42	1.9611613	0.76504614	0.24690096	1.9566088	0.7639565	0.2466921	1.9241774	0.75616619	0.24519447	1.8259773	0.73226897	0.24055117	1.6339456	0.68408154	0.23095194
0.43	1.962289	0.7653159	0.24695265	1.9574292	0.76415294	0.24672977	1.9292388	0.75738523	0.24542934	1.8412399	0.73601458	0.24128395	1.6632302	0.69156376	0.232464
0.44	1.9632402	0.76554339	0.24699622	1.9582405	0.76434716	0.246767	1.9335891	0.75843203	0.24563086	1.8549024	0.73935724	0.24193627	1.6904318	0.69846787	0.23385187
0.45	1.9640447	0.76573577	0.24703307	1.9590882	0.76455007	0.2468059	1.9374435	0.75935877	0.24580916	1.8671668	0.74235021	0.24251914	1.7157101	0.70484743	0.23512846
0.46	1.9651293	0.76599509	0.24708273	1.9599317	0.76475193	0.24684458	1.9408567	0.76017884	0.24596685	1.8781534	0.745025	0.24303904	1.7390531	0.71070696	0.23629594
0.47	1.9666514	0.76635892	0.24715239	1.9608585	0.76497369	0.24688708	1.9438641	0.76090097	0.24610562	1.8879491	0.74740483	0.24350081	1.7605413	0.71607433	0.23736112
0.48	1.9679271	0.76666376	0.24721074	1.9618933	0.76522126	0.24693451	1.9465507	0.76154568	0.24622947	1.8966272	0.74950901	0.24390844	1.7801516	0.72094972	0.23832501
0.49	1.9690701	0.76693682	0.247263	1.9628976	0.76546147	0.24698053	1.9490296	0.76214033	0.24634365	1.9045816	0.75143511	0.24428116	1.798435	0.72548031	0.23921835
