#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121	0.59282134	0.36865487	0.15789613	0.59768633	0.37048991	0.15838916	0.60420158	0.3729384	0.15904539	0.60952035	0.3749297	0.15957771	0.61087622	0.37543625	0.15971294
121.01	0.61968297	0.3787146	0.16058594	0.59865757	0.37085555	0.15848728	0.60354485	0.37269206	0.15897945	0.60892256	0.37470623	0.15951803	0.61070068	0.3753707	0.15969544
121.02	0.64406403	0.38770111	0.16296298	0.60220605	0.37218946	0.15884484	0.6032037	0.37256405	0.15894518	0.60833401	0.37448613	0.15945924	0.61048089	0.3752886	0.15967353
121.03	0.6660797	0.3957026	0.1650593	0.60784932	0.37430436	0.15941059	0.60339955	0.37263754	0.15896485	0.60780061	0.37428658	0.15940592	0.6102243	0.37519275	0.15964794
121.04	0.68602848	0.40286924	0.16692203	0.61505608	0.37699487	0.16012846	0.60422339	0.37294658	0.15904757	0.60737128	0.37412592	0.15936299	0.60994461	0.37508825	0.15962005
121.05	0.7048048	0.40954088	0.16864301	0.6235798	0.38016141	0.16097053	0.60579397	0.37353529	0.15920508	0.60711376	0.37402953	0.15933723	0.6096577	0.37498104	0.15959142
121.06	0.7219217	0.41556084	0.17018492	0.63320644	0.38371676	0.16191223	0.60819434	0.37443383	0.15944526	0.60710337	0.37402564	0.15933619	0.60938746	0.37488003	0.15956445
121.07	0.73723575	0.42090039	0.17154439	0.64358555	0.38752631	0.16291703	0.61141464	0.37563706	0.15976648	0.60739668	0.37413542	0.15936553	0.60916191	0.37479572	0.15954194
121.08	0.75097214	0.42565489	0.17274874	0.65444753	0.39148861	0.16395772	0.61540403	0.37712435	0.16016294	0.60803079	0.37437269	0.15942893	0.60900718	0.37473787	0.15952649
121.09	0.7634217	0.42993627	0.17382838	0.66559845	0.3955312	0.16501502	0.62011721	0.37887691	0.16062928	0.60904176	0.37475078	0.15952993	0.60895128	0.37471697	0.1595209
121.1	0.77484507	0.43384082	0.17480879	0.67690179	0.3996023	0.16607501	0.62554341	0.38088825	0.16116334	0.61048556	0.37529033	0.15967399	0.60903138	0.37474691	0.1595289
121.11	0.78501002	0.43729614	0.17567306	0.6882113	0.4036489	0.16712387	0.6316299	0.3831362	0.16175877	0.61239722	0.37600395	0.15986438	0.60928338	0.37484112	0.15955406
121.12	0.79404912	0.44035437	0.17643548	0.69941057	0.40763099	0.16815155	0.6382909	0.38558683	0.16240617	0.61478024	0.37689233	0.16010118	0.60973465	0.37500979	0.1595991
121.13	0.80243572	0.44318012	0.1771379	0.71036798	0.41150398	0.16914699	0.64543756	0.38820552	0.16309607	0.61763831	0.37795611	0.16038444	0.61041021	0.3752622	0.15966648
121.14	0.81047856	0.44587893	0.17780682	0.72107811	0.41526639	0.1701099	0.65302581	0.39097326	0.16382295	0.6209994	0.37920459	0.16071641	0.61135517	0.37561508	0.15976065
121.15	0.81757133	0.44825015	0.17839302	0.73147962	0.41889902	0.17103583	0.66098344	0.3938618	0.16457907	0.6248576	0.38063432	0.16109597	0.61259414	0.37607741	0.15988397
121.16	0.82391568	0.45036509	0.1789148	0.74154949	0.42239861	0.17192481	0.66919987	0.39683145	0.16535413	0.62913653	0.3822163	0.16151529	0.61410801	0.37664186	0.16003444
121.17	0.8296936	0.45228589	0.17938776	0.75121134	0.42573982	0.17277063	0.67762181	0.39986138	0.16614242	0.63384592	0.38395285	0.16197476	0.61593072	0.37732079	0.16021532
121.18	0.83499745	0.45404424	0.17981987	0.76042689	0.4289102	0.17357031	0.68620356	0.40293294	0.16693872	0.63900042	0.38584749	0.16247497	0.61810493	0.37812959	0.16043059
