#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121.32	0.72627909	0.41708627	0.17057439	0.71054002	0.4115645	0.16916249	0.68538618	0.4026409	0.16686311	0.65753353	0.39261152	0.16425215	0.63476002	0.38428903	0.16206354
121.33	0.72699371	0.41733589	0.17063802	0.71233112	0.41219525	0.16932419	0.68825186	0.40366388	0.16712783	0.66070938	0.39376332	0.16455347	0.63736751	0.38524774	0.1623167
121.34	0.72760761	0.41755025	0.17069266	0.71401063	0.41278618	0.16947559	0.6910046	0.40464506	0.16738148	0.66385231	0.3949012	0.16485079	0.64003542	0.3862272	0.16257508
121.35	0.72810244	0.41772298	0.17073667	0.7155569	0.41332971	0.16961476	0.69362817	0.4055787	0.16762257	0.66694992	0.39602051	0.16514288	0.64275988	0.38722571	0.16283818
121.36	0.7285426	0.41787658	0.1707758	0.71697007	0.41382602	0.16974176	0.69611477	0.4064622	0.16785046	0.66998655	0.39711561	0.16542826	0.64552908	0.38823873	0.16310476
121.37	0.72894576	0.41801725	0.17081163	0.7182997	0.41429274	0.16986114	0.69850929	0.40731213	0.16806954	0.67297679	0.39819258	0.16570866	0.64832139	0.38925893	0.163373
121.38	0.7296752	0.41827168	0.17087642	0.71952307	0.41472181	0.16997082	0.70076525	0.40811167	0.16827543	0.67589008	0.39923978	0.16598095	0.65113896	0.3902864	0.1636428
121.39	0.73056067	0.41858038	0.17095502	0.72071175	0.41513842	0.17007728	0.70290177	0.40886792	0.16846999	0.6787244	0.40025683	0.16624509	0.65396703	0.39131586	0.1639128
121.4	0.73134393	0.41885334	0.17102448	0.72184603	0.41553572	0.17017875	0.70492728	0.40958403	0.16865408	0.68147599	0.40124257	0.1665008	0.6567938	0.39234306	0.16418188
121.41	0.73205382	0.41910064	0.17108741	0.72295329	0.41592336	0.17027773	0.70687594	0.41027237	0.16883092	0.684161	0.40220326	0.1667498	0.65961382	0.39336643	0.16444972
121.42	0.73266143	0.41931224	0.17114124	0.7240118	0.41629372	0.17037225	0.70872176	0.41092369	0.16899812	0.68676368	0.40313309	0.16699055	0.66242246	0.39438398	0.16471572
121.43	0.73316245	0.41948666	0.1711856	0.72500334	0.41664043	0.17046069	0.71046617	0.41153852	0.16915583	0.68926602	0.40402555	0.16722136	0.6652014	0.39538883	0.16497807
121.44	0.73361285	0.41964342	0.17122546	0.72594059	0.416968	0.17054423	0.71213112	0.41212485	0.16930615	0.69168875	0.40488854	0.16744435	0.66795084	0.39638155	0.16523698
121.45	0.73401778	0.41978433	0.17126128	0.72682258	0.41727612	0.17062279	0.71371791	0.41268319	0.16944921	0.69403244	0.40572234	0.16765962	0.67066706	0.39736083	0.16549213
121.46	0.73436614	0.41990553	0.1712921	0.72766155	0.41756909	0.17069746	0.71523834	0.4132178	0.16958612	0.69630306	0.40652925	0.16786778	0.67334785	0.39832606	0.16574339
121.47	0.73371694	0.41967965	0.17123467	0.72836238	0.4178137	0.17075978	0.71665773	0.41371639	0.16971372	0.69847102	0.40729852	0.16806604	0.67597356	0.39926972	0.16598872
121.48	0.73319876	0.4194993	0.17118881	0.7289393	0.418015	0.17081106	0.71799758	0.41418672	0.16983402	0.70055753	0.40803807	0.16825648	0.67854894	0.40019398	0.16622878
121.49	0.7327471	0.41934207	0.17114882	0.72938118	0.41816913	0.17085031	0.71923596	0.4146211	0.16994508	0.70255044	0.40874358	0.16843801	0.68106516	0.40109559	0.1664627
121.5	0.73221441	0.41915658	0.17110164	0.72974192	0.41829494	0.17088235	0.72039897	0.41502883	0.17004928	0.70447355	0.4094238	0.16861292	0.68353421	0.40197929	0.1666918
121.51	0.73032881	0.41849956	0.17093444	0.72991673	0.4183559	0.17089787	0.72145247	0.41539793	0.17014357	0.70629835	0.4100685	0.16877857	0.68593389	0.40283685	0.16691389
121.52	0.72859271	0.41789403	0.17078024	0.72984628	0.41833134	0.17089161	0.72238715	0.41572521	0.17022714	0.70802677	0.41067852	0.1689352	0.68826371	0.40366827	0.16712899
121.53	0.72704113	0.41735243	0.17064223	0.72961398	0.41825033	0.17087099	0.72320721	0.41601224	0.17030041	0.70966733	0.41125705	0.16908365	0.69052903	0.4044757	0.16733772
